config,dtype,pass_type,tensor,max_abs,max_rel,passed
cfg1,bf16,fwd,O,2.20e-03,1.43e+00,PASS
cfg2,bf16,fwd,O,2.45e-03,4.30e+00,PASS
cfg3,bf16,fwd,O,2.06e-03,1.85e+01,PASS
cfg4,bf16,fwd,O,2.87e-03,2.56e+00,PASS
cfg5,bf16,fwd,O,1.85e-03,2.25e+00,PASS
cfg6,bf16,fwd,O,1.04e-02,3.96e+01,PASS
cfg7,bf16,fwd,O,9.10e-03,6.27e+00,PASS
cfg8,bf16,fwd,O,2.69e-03,9.22e+01,PASS
cfg1,bf16,bwd,dQ,4.56e-03,3.55e+01,PASS
cfg1,bf16,bwd,dK,6.58e-03,6.22e+00,PASS
cfg1,bf16,bwd,dV,1.80e-03,2.96e-03,PASS
cfg2,bf16,bwd,dQ,2.18e-03,5.91e+00,PASS
cfg2,bf16,bwd,dK,3.22e-03,3.36e+01,PASS
cfg2,bf16,bwd,dV,2.12e-03,4.58e-03,PASS
cfg3,bf16,bwd,dQ,2.98e-03,1.40e+02,PASS
cfg3,bf16,bwd,dK,2.73e-03,2.44e+02,PASS
cfg3,bf16,bwd,dV,1.65e-03,5.16e-03,PASS
cfg4,bf16,bwd,dQ,2.41e-03,5.99e+01,PASS
cfg4,bf16,bwd,dK,3.10e-03,1.52e+02,PASS
cfg4,bf16,bwd,dV,2.13e-03,3.72e-03,PASS
cfg5,bf16,bwd,dQ,3.61e-03,6.22e+00,PASS
cfg5,bf16,bwd,dK,3.13e-03,1.38e+03,PASS
cfg5,bf16,bwd,dV,1.74e-03,3.42e-03,PASS
cfg6,bf16,bwd,dQ,4.44e-03,3.54e+01,PASS
cfg6,bf16,bwd,dK,6.93e-03,2.59e+00,PASS
cfg6,bf16,bwd,dV,1.39e-02,4.17e-03,PASS
cfg7,bf16,bwd,dQ,8.03e-03,2.57e+01,PASS
cfg7,bf16,bwd,dK,1.03e-02,1.37e+01,PASS
cfg7,bf16,bwd,dV,1.28e-02,4.48e-03,PASS
cfg8,bf16,bwd,dQ,2.99e-03,2.20e+01,PASS
cfg8,bf16,bwd,dK,4.72e-03,1.06e+01,PASS
cfg8,bf16,bwd,dV,3.43e-03,4.52e-03,PASS
cfg1,bf16,dbl_bwd,g2_Q,7.40e-03,7.48e+00,PASS
cfg1,bf16,dbl_bwd,g2_K,1.01e-02,4.00e+03,PASS
cfg1,bf16,dbl_bwd,g2_V,3.13e-03,1.32e-01,PASS
cfg2,bf16,dbl_bwd,g2_Q,9.05e-03,5.68e+00,PASS
cfg2,bf16,dbl_bwd,g2_K,8.91e-03,2.21e+02,PASS
cfg2,bf16,dbl_bwd,g2_V,2.31e-03,5.21e-01,PASS
cfg3,bf16,dbl_bwd,g2_Q,8.26e-03,8.75e+01,PASS
cfg3,bf16,dbl_bwd,g2_K,8.47e-03,1.24e+03,PASS
cfg3,bf16,dbl_bwd,g2_V,2.46e-03,3.71e+00,PASS
cfg4,bf16,dbl_bwd,g2_Q,7.20e-03,1.14e+01,PASS
cfg4,bf16,dbl_bwd,g2_K,1.09e-02,4.88e+01,PASS
cfg4,bf16,dbl_bwd,g2_V,2.79e-03,2.71e-01,PASS
cfg6,bf16,dbl_bwd,g2_Q,1.18e-02,1.34e+01,PASS
cfg6,bf16,dbl_bwd,g2_K,2.42e-02,5.33e+00,PASS
cfg6,bf16,dbl_bwd,g2_V,7.40e-03,7.07e-02,PASS
cfg7,bf16,dbl_bwd,g2_Q,1.38e-02,2.83e+00,PASS
cfg7,bf16,dbl_bwd,g2_K,2.33e-02,3.72e+00,PASS
cfg7,bf16,dbl_bwd,g2_V,3.96e-03,1.36e-01,PASS
cfg8,bf16,dbl_bwd,g2_Q,9.89e-03,1.81e+01,PASS
cfg8,bf16,dbl_bwd,g2_K,1.13e-02,1.57e+02,PASS
cfg8,bf16,dbl_bwd,g2_V,2.78e-03,4.76e+00,PASS
