config,dtype,tensor,max_abs,max_rel,passed
H1_D64,bf16,O,7.81e-03,3.74e+01,PASS
H1_D64,bf16,dQ,9.77e-03,4.21e+00,PASS
H1_D64,bf16,dK,1.56e-02,1.21e+02,PASS
H1_D64,bf16,dV,0.00e+00,0.00e+00,PASS
H4_D64,bf16,O,7.81e-03,2.05e+02,PASS
H4_D64,bf16,dQ,1.56e-02,1.38e+01,PASS
H4_D64,bf16,dK,1.56e-02,1.21e+02,PASS
H4_D64,bf16,dV,0.00e+00,0.00e+00,PASS
H12_D64,bf16,O,1.56e-02,1.01e+03,PASS
H12_D64,bf16,dQ,1.56e-02,3.79e+02,PASS
H12_D64,bf16,dK,1.56e-02,2.58e+02,PASS
H12_D64,bf16,dV,0.00e+00,0.00e+00,PASS
H12_D64_L,bf16,O,1.56e-02,2.45e+02,PASS
H12_D64_L,bf16,dQ,1.56e-02,3.08e+02,PASS
H12_D64_L,bf16,dK,1.56e-02,1.59e+02,PASS
H12_D64_L,bf16,dV,0.00e+00,0.00e+00,PASS
H16_D64,bf16,O,1.56e-02,2.03e+03,PASS
H16_D64,bf16,dQ,1.56e-02,3.79e+02,PASS
H16_D64,bf16,dK,1.56e-02,2.58e+02,PASS
H16_D64,bf16,dV,0.00e+00,0.00e+00,PASS
H32_D80,bf16,O,1.56e-02,3.65e+02,PASS
H32_D80,bf16,dQ,1.56e-02,1.76e+03,PASS
H32_D80,bf16,dK,3.12e-02,6.18e+02,PASS
H32_D80,bf16,dV,0.00e+00,0.00e+00,PASS
H8_D96,bf16,O,1.56e-02,3.38e+02,PASS
H8_D96,bf16,dQ,1.56e-02,8.06e+02,PASS
H8_D96,bf16,dK,3.12e-02,1.48e+02,PASS
H8_D96,bf16,dV,0.00e+00,0.00e+00,PASS
H64_D64,bf16,O,1.56e-02,2.66e+03,PASS
H64_D64,bf16,dQ,1.56e-02,1.17e+03,PASS
H64_D64,bf16,dK,3.12e-02,1.24e+03,PASS
H64_D64,bf16,dV,3.91e-03,4.35e-03,PASS
